"Date","Price","Open","High","Low","Vol.","Change %"
"22-03-2017","1,436.25","1,432.25","1,442.25","1,431.05","5.46M","-0.72%"
"21-03-2017","1,446.65","1,441.65","1,451.45","1,438.70","4.98M","0.35%"
"20-03-2017","1,441.60","1,430.65","1,445.60","1,430.55","3.57M","0.75%"
"17-03-2017","1,430.85","1,428.95","1,432.45","1,414.55","4.59M","0.62%"
"16-03-2017","1,422.10","1,425.30","1,426.00","1,418.55","3.37M","0.08%"
"15-03-2017","1,420.90","1,413.90","1,423.40","1,413.50","2.93M","0.42%"
"14-03-2017","1,415.00","1,424.35","1,427.90","1,411.50","5.79M","0.77%"
"10-03-2017","1,404.20","1,395.10","1,409.00","1,395.10","2.85M","0.48%"
"09-03-2017","1,397.55","1,386.15","1,400.95","1,386.15","3.32M","0.13%"
"08-03-2017","1,395.70","1,388.00","1,402.00","1,383.00","4.55M","0.47%"
"07-03-2017","1,389.20","1,381.00","1,390.40","1,379.00","2.74M","0.51%"
"06-03-2017","1,382.15","1,377.40","1,392.95","1,375.65","2.69M","0.19%"
"03-03-2017","1,379.50","1,381.80","1,383.00","1,372.50","2.86M","-0.40%"
"02-03-2017","1,385.00","1,396.30","1,398.00","1,381.50","4.01M","-0.57%"
"01-03-2017","1,393.00","1,393.00","1,398.00","1,388.25","3.56M","0.20%"
"28-02-2017","1,390.25","1,390.30","1,396.60","1,385.80","2.74M","-0.27%"
"27-02-2017","1,394.05","1,384.35","1,395.35","1,377.90","4.37M","-0.25%"
"23-02-2017","1,397.55","1,403.20","1,419.90","1,392.75","20.85M","-0.10%"
"22-02-2017","1,398.95","1,409.10","1,416.00","1,395.25","11.76M","-0.82%"
"21-02-2017","1,410.55","1,405.90","1,414.70","1,393.35","9.79M","0.55%"
"20-02-2017","1,402.90","1,362.00","1,407.25","1,356.85","14.03M","2.36%"
"17-02-2017","1,370.60","1,436.65","1,440.00","1,353.05","96.14M","3.05%"
"16-02-2017","1,330.05","1,327.20","1,334.40","1,322.95","5.23M","0.37%"
"15-02-2017","1,325.15","1,317.65","1,328.45","1,313.00","6.87M","0.84%"
"14-02-2017","1,314.10","1,317.80","1,317.90","1,308.15","2.92M","-0.02%"
"13-02-2017","1,314.40","1,314.85","1,320.00","1,304.25","3.26M","0.37%"
"10-02-2017","1,309.60","1,305.00","1,314.40","1,304.00","2.45M","0.41%"
"09-02-2017","1,304.25","1,325.15","1,326.50","1,299.25","4.04M","-0.84%"
"08-02-2017","1,315.25","1,313.40","1,324.60","1,305.55","4.16M","0.08%"
"07-02-2017","1,314.25","1,322.00","1,322.20","1,309.35","2.92M","-0.49%"
"06-02-2017","1,320.75","1,324.80","1,326.00","1,317.25","2.99M","0.37%"
"03-02-2017","1,315.90","1,308.25","1,322.45","1,302.25","5.79M","0.78%"
"02-02-2017","1,305.75","1,309.05","1,311.60","1,299.55","4.60M","-0.60%"
"01-02-2017","1,313.60","1,294.95","1,318.25","1,286.50","8.65M","1.58%"
"31-01-2017","1,293.20","1,286.40","1,298.40","1,283.80","3.68M","0.13%"
"30-01-2017","1,291.55","1,299.00","1,299.55","1,287.00","3.39M","-0.67%"
"27-01-2017","1,300.30","1,305.05","1,308.80","1,296.15","6.49M","0.95%"
"25-01-2017","1,288.05","1,275.00","1,292.00","1,269.60","8.76M","1.49%"
"24-01-2017","1,269.10","1,250.20","1,272.00","1,250.00","22.07M","1.89%"
"23-01-2017","1,245.60","1,236.85","1,252.50","1,236.85","12.43M","0.51%"
"20-01-2017","1,239.25","1,230.85","1,247.70","1,223.00","7.32M","0.04%"
"19-01-2017","1,238.70","1,245.45","1,246.35","1,237.50","5.28M","-0.67%"
"18-01-2017","1,247.05","1,246.95","1,259.55","1,244.30","4.80M","0.35%"
"17-01-2017","1,242.65","1,253.25","1,256.65","1,240.20","3.50M","-0.78%"
"16-01-2017","1,252.40","1,237.95","1,254.00","1,237.05","4.06M","1.23%"
"13-01-2017","1,237.20","1,244.55","1,244.55","1,232.10","3.66M","-0.13%"
"12-01-2017","1,238.80","1,238.75","1,246.20","1,229.05","5.21M","0.41%"
"11-01-2017","1,233.70","1,221.10","1,237.75","1,218.25","8.46M","1.41%"
"10-01-2017","1,216.55","1,199.90","1,219.35","1,197.85","7.39M","1.42%"
"09-01-2017","1,199.55","1,199.30","1,206.35","1,196.80","4.03M","0.08%"
"06-01-2017","1,198.60","1,192.50","1,202.50","1,191.30","6.01M","0.88%"
"05-01-2017","1,188.20","1,191.90","1,199.00","1,185.70","5.24M","-0.18%"
"04-01-2017","1,190.30","1,191.45","1,195.70","1,186.60","4.37M","-0.19%"
"03-01-2017","1,192.60","1,203.80","1,204.00","1,188.95","4.62M","-0.82%"
"02-01-2017","1,202.45","1,209.95","1,211.85","1,196.60","4.94M","-0.39%"
"30-12-2016","1,207.10","1,204.25","1,214.25","1,203.10","2.97M","0.34%"
"29-12-2016","1,202.95","1,183.60","1,207.15","1,181.30","7.34M","1.36%"
