"Date","Price","Open","High","Low","Vol.","Change %"
"03-10-2025","1,400.60","1,423.00","1,423.80","1,397.30","2.57M","-1.09%"
"01-10-2025","1,416.00","1,401.00","1,423.60","1,393.40","1.68M","1.12%"
"30-09-2025","1,400.30","1,408.00","1,426.70","1,392.50","2.23M","-0.74%"
"29-09-2025","1,410.70","1,415.00","1,425.00","1,391.90","2.71M","0.21%"
"26-09-2025","1,407.70","1,439.90","1,441.50","1,403.50","1.85M","-2.53%"
"25-09-2025","1,444.30","1,452.00","1,460.20","1,437.00","1.58M","-0.56%"
"24-09-2025","1,452.40","1,470.00","1,470.00","1,439.00","2.12M","-1.32%"
"23-09-2025","1,471.90","1,511.70","1,511.70","1,468.20","1.38M","-2.23%"
"22-09-2025","1,505.40","1,499.00","1,510.00","1,453.30","5.72M","-3.11%"
"19-09-2025","1,553.80","1,551.00","1,557.40","1,541.60","2.62M","0.20%"
"18-09-2025","1,550.70","1,556.00","1,566.90","1,541.80","2.25M","0.23%"
"17-09-2025","1,547.20","1,538.30","1,549.40","1,525.60","1.95M","1.03%"
"16-09-2025","1,531.50","1,522.90","1,534.00","1,510.00","1.01M","0.77%"
"15-09-2025","1,519.80","1,527.90","1,527.90","1,505.60","825.52K","-0.37%"
"12-09-2025","1,525.50","1,529.00","1,530.00","1,512.50","770.70K","0.28%"
"11-09-2025","1,521.20","1,526.00","1,531.50","1,505.70","896.91K","-0.31%"
"10-09-2025","1,526.00","1,503.00","1,536.00","1,501.80","1.66M","1.86%"
"09-09-2025","1,498.20","1,466.60","1,500.00","1,465.70","1.75M","2.57%"
"08-09-2025","1,460.70","1,482.40","1,487.90","1,459.00","1.31M","-1.16%"
"05-09-2025","1,477.90","1,499.00","1,507.40","1,462.10","1.88M","-1.50%"
"04-09-2025","1,500.40","1,506.10","1,510.80","1,495.30","1.04M","-0.52%"
"03-09-2025","1,508.20","1,512.80","1,516.10","1,497.30","1.43M","-0.30%"
"02-09-2025","1,512.80","1,502.00","1,519.90","1,498.60","1.14M","0.48%"
"01-09-2025","1,505.50","1,485.00","1,509.90","1,485.00","1.24M","1.63%"
"29-08-2025","1,481.40","1,498.80","1,504.70","1,478.70","2.28M","-0.95%"
"28-08-2025","1,495.60","1,500.00","1,509.20","1,482.60","1.77M","-0.44%"
"26-08-2025","1,502.20","1,521.00","1,526.50","1,498.90","1.51M","-1.63%"
"25-08-2025","1,527.10","1,516.00","1,539.70","1,505.00","1.39M","1.47%"
"22-08-2025","1,505.00","1,529.60","1,529.60","1,499.00","969.60K","-1.07%"
"21-08-2025","1,521.30","1,528.00","1,531.70","1,509.10","1.25M","-0.18%"
"20-08-2025","1,524.10","1,488.00","1,532.00","1,487.40","2.33M","1.83%"
"19-08-2025","1,496.70","1,472.00","1,499.60","1,464.40","1.81M","1.73%"
"18-08-2025","1,471.20","1,500.00","1,500.00","1,468.10","1.25M","-1.04%"
"14-08-2025","1,486.70","1,509.90","1,529.90","1,485.00","1.72M","-1.30%"
"13-08-2025","1,506.30","1,515.00","1,518.70","1,499.30","1.82M","-0.20%"
"12-08-2025","1,509.30","1,482.60","1,517.40","1,481.00","2.53M","1.90%"
