"Date","Price","Open","High","Low","Vol.","Change %"
"12-06-2026","2,755.30","2,758.00","2,783.90","2,720.40","583.33K","1.64%"
"11-06-2026","2,710.90","2,748.00","2,750.00","2,680.00","980.80K","-1.59%"
"10-06-2026","2,754.70","2,785.20","2,845.50","2,743.30","1.59M","-0.60%"
"09-06-2026","2,771.30","2,731.20","2,803.80","2,731.20","1.50M","1.73%"
"08-06-2026","2,724.10","2,740.00","2,798.00","2,708.50","954.68K","-1.81%"
"05-06-2026","2,774.20","2,830.00","2,837.50","2,753.00","1.35M","-2.23%"
"04-06-2026","2,837.60","2,830.00","2,849.00","2,751.00","1.57M","-0.03%"
"03-06-2026","2,838.40","2,813.33","2,856.53","2,776.67","817.26K","1.12%"
"02-06-2026","2,806.93","2,703.60","2,830.20","2,703.60","1.13M","1.28%"
"01-06-2026","2,771.53","2,822.87","2,837.40","2,761.93","978.15K","-1.58%"
"29-05-2026","2,816.00","2,840.00","2,890.47","2,793.33","1.78M","-0.58%"
"27-05-2026","2,832.40","2,826.40","2,858.20","2,813.67","644.87K","0.21%"
"26-05-2026","2,826.40","2,860.00","2,873.53","2,820.00","843.39K","-1.40%"
"25-05-2026","2,866.67","2,894.00","2,908.00","2,860.00","876.77K","0.08%"
"22-05-2026","2,864.33","2,792.67","2,876.60","2,771.53","1.63M","3.02%"
"21-05-2026","2,780.27","2,756.67","2,793.93","2,701.33","1.12M","1.72%"
"20-05-2026","2,733.27","2,688.47","2,742.67","2,681.33","751.51K","0.74%"
"19-05-2026","2,713.07","2,694.00","2,739.80","2,684.07","778.14K","0.93%"
"18-05-2026","2,688.20","2,700.67","2,712.47","2,653.73","1.62M","-1.68%"
"15-05-2026","2,734.20","2,754.93","2,762.93","2,688.00","1.03M","-0.75%"
"14-05-2026","2,754.93","2,732.80","2,777.67","2,732.80","1.01M","1.17%"
"13-05-2026","2,723.00","2,692.33","2,751.33","2,680.67","682.32K","0.84%"
"12-05-2026","2,700.40","2,770.67","2,789.00","2,691.73","1.26M","-3.12%"
"11-05-2026","2,787.40","2,818.13","2,826.00","2,768.87","671.35K","-1.44%"
"08-05-2026","2,828.20","2,855.47","2,879.27","2,814.60","812.64K","-1.21%"
"07-05-2026","2,862.73","2,893.87","2,903.33","2,858.47","899.05K","0.10%"
"06-05-2026","2,859.87","2,771.93","2,883.00","2,771.00","2.08M","3.73%"
"05-05-2026","2,756.93","2,766.73","2,772.33","2,717.07","697.75K","-0.56%"
"04-05-2026","2,772.33","2,756.67","2,795.93","2,711.47","1.02M","0.34%"
"30-04-2026","2,763.07","2,810.07","2,812.27","2,749.33","850.29K","-1.98%"
"29-04-2026","2,818.87","2,848.67","2,869.80","2,812.47","965.36K","-0.60%"
"28-04-2026","2,835.93","2,840.53","2,846.60","2,801.33","1.34M","-0.16%"
"27-04-2026","2,840.53","2,890.67","2,899.00","2,830.93","1.59M","-0.85%"
"24-04-2026","2,864.87","2,840.00","2,896.00","2,800.00","2.43M","1.08%"
"23-04-2026","2,834.27","2,960.00","2,986.27","2,816.67","7.20M","-4.13%"
