"Date","Price","Open","High","Low","Vol.","Change %"
"15-06-2020","149.10","151.00","156.50","144.55","488.00K","-2.29%"
"12-06-2020","152.60","147.00","153.55","138.00","704.00K","0.13%"
"11-06-2020","152.40","152.00","165.95","150.65","25.99M","0.16%"
"10-06-2020","152.15","152.25","154.95","150.25","8.89M","0.10%"
"09-06-2020","152.00","154.00","157.15","151.10","7.32M","-0.56%"
"08-06-2020","152.85","155.70","159.00","150.80","11.40M","-0.13%"
"05-06-2020","153.05","149.00","155.50","148.60","9.22M","3.38%"
"04-06-2020","148.05","149.65","153.75","145.80","6.29M","-1.63%"
"03-06-2020","150.50","151.15","157.80","149.45","11.21M","0.13%"
"02-06-2020","150.30","150.40","152.85","148.85","4.12M","-0.03%"
"01-06-2020","150.35","151.65","154.70","149.80","8.79M","1.25%"
"29-05-2020","148.50","142.25","153.70","142.05","14.58M","4.39%"
"28-05-2020","142.25","140.80","144.35","140.80","4.34M","1.14%"
"27-05-2020","140.65","140.20","141.55","138.15","6.04M","0.86%"
"26-05-2020","139.45","138.40","143.10","138.00","8.22M","1.38%"
"22-05-2020","137.55","137.60","141.20","136.55","16.44M","-0.69%"
"21-05-2020","138.50","141.25","144.05","137.15","3.66M","-2.09%"
"20-05-2020","141.45","135.20","143.35","135.20","4.17M","0.96%"
"19-05-2020","140.10","137.95","146.15","134.30","9.32M","3.05%"
"18-05-2020","135.95","143.80","146.65","134.00","9.20M","-3.82%"
"15-05-2020","141.35","141.70","143.85","140.10","2.49M","0.28%"
"14-05-2020","140.95","137.35","142.65","137.35","2.05M","-0.49%"
"13-05-2020","141.65","144.10","145.50","141.15","3.64M","0.93%"
"12-05-2020","140.35","138.60","141.00","133.25","4.04M","-0.04%"
"11-05-2020","140.40","138.05","143.80","138.05","3.68M","2.26%"
"08-05-2020","137.30","137.65","139.90","136.25","2.77M","1.78%"
"07-05-2020","134.90","130.50","135.70","130.50","3.00M","1.20%"
"06-05-2020","133.30","133.00","136.00","127.50","9.75M","0.53%"
"05-05-2020","132.60","134.75","135.95","131.80","3.41M","0.99%"
"04-05-2020","131.30","135.85","138.15","129.40","8.13M","-6.95%"
"30-04-2020","141.10","140.65","147.35","139.95","7.02M","1.29%"
"29-04-2020","139.30","138.55","140.70","135.65","6.79M","0.18%"
"28-04-2020","139.05","135.05","141.90","135.00","14.62M","3.31%"
"27-04-2020","134.60","137.30","138.25","133.85","8.02M","0.00%"
"24-04-2020","134.60","137.95","140.35","134.10","4.71M","-4.34%"
"23-04-2020","140.70","138.45","142.85","136.50","6.98M","1.92%"
"22-04-2020","138.05","135.95","138.90","132.20","10.74M","1.40%"
"21-04-2020","136.15","142.00","142.50","134.10","5.20M","-7.35%"
"20-04-2020","146.95","145.45","155.25","143.10","10.21M","1.52%"
"17-04-2020","144.75","148.00","149.20","142.15","2.71M","0.00%"
"16-04-2020","144.75","143.00","146.00","141.30","2.31M","-0.89%"
"15-04-2020","146.05","149.25","151.60","144.30","4.53M","-0.58%"
"13-04-2020","146.90","140.15","149.90","137.10","3.21M","2.26%"
"09-04-2020","143.65","141.30","147.35","141.30","2.98M","3.57%"
"08-04-2020","138.70","137.00","147.85","135.60","4.09M","-0.22%"
"07-04-2020","139.00","133.00","142.40","131.75","2.90M","7.13%"
"03-04-2020","129.75","134.30","134.45","128.45","2.04M","-3.67%"
"01-04-2020","134.70","137.65","139.00","132.65","2.24M","-2.60%"
"31-03-2020","138.30","133.00","139.00","130.60","2.77M","6.47%"
"30-03-2020","129.90","123.85","130.30","122.35","2.98M","0.23%"
"27-03-2020","129.60","147.95","152.00","127.75","4.07M","-6.86%"
"26-03-2020","139.15","134.45","150.75","131.85","9.52M","5.58%"
"25-03-2020","131.80","132.00","135.00","121.00","1.42M","1.11%"
"24-03-2020","130.35","130.00","131.55","110.00","3.60M","9.03%"
"23-03-2020","119.55","122.45","139.90","116.00","1.08M","-12.13%"
"20-03-2020","136.05","134.15","139.80","127.85","17.22M","7.08%"
"19-03-2020","127.05","121.20","132.35","117.70","12.26M","-0.97%"
"18-03-2020","128.30","134.40","135.90","125.10","10.17M","-2.14%"
"17-03-2020","131.10","136.70","139.70","129.05","12.06M","-1.35%"
"16-03-2020","132.90","137.55","141.85","130.55","14.58M","-10.32%"
"13-03-2020","148.20","146.50","161.35","133.50","15.86M","-8.88%"
"12-03-2020","162.65","183.65","183.65","161.00","17.11M","-16.70%"
"11-03-2020","195.25","197.95","205.50","192.45","10.44M","-2.74%"
"09-03-2020","200.75","208.00","208.75","198.80","9.93M","-6.61%"
"06-03-2020","214.95","214.25","216.90","207.20","10.82M","-3.11%"
"05-03-2020","221.85","223.35","227.10","219.75","11.46M","0.50%"
"04-03-2020","220.75","225.60","226.80","214.45","11.07M","-2.19%"
"03-03-2020","225.70","219.40","227.20","219.40","11.03M","3.27%"
"02-03-2020","218.55","223.45","226.80","216.30","9.87M","-0.05%"
"28-02-2020","218.65","227.90","227.90","217.35","10.12M","-6.68%"
"27-02-2020","234.30","240.55","241.60","231.40","12.64M","-3.38%"
"26-02-2020","242.50","243.50","246.30","240.10","10.36M","-1.52%"
"25-02-2020","246.25","247.45","251.40","242.60","19.24M","-0.20%"
"24-02-2020","246.75","254.90","255.85","244.80","19.09M","-4.75%"
"20-02-2020","259.05","253.70","260.95","253.10","11.44M","1.71%"
"19-02-2020","254.70","251.30","256.20","251.00","7.78M","2.00%"
"18-02-2020","249.70","251.25","251.45","245.30","10.24M","-1.36%"
"17-02-2020","253.15","256.35","257.20","252.15","7.33M","-1.04%"
"14-02-2020","255.80","249.50","258.35","249.50","15.26M","1.71%"
"13-02-2020","251.50","248.35","252.80","248.00","7.46M","0.94%"
"12-02-2020","249.15","245.50","251.25","245.00","12.07M","1.32%"
"11-02-2020","245.90","245.20","248.80","243.65","11.11M","0.72%"
"10-02-2020","244.15","238.55","244.70","237.50","14.00M","2.03%"
"07-02-2020","239.30","237.30","241.90","235.20","12.61M","0.95%"
"06-02-2020","237.05","237.10","243.60","234.05","22.65M","0.23%"
"05-02-2020","236.50","227.00","238.80","222.65","27.82M","4.85%"
"04-02-2020","225.55","222.90","227.30","222.90","7.20M","1.83%"
"03-02-2020","221.50","221.10","224.75","215.60","10.73M","-0.49%"
"01-02-2020","222.60","229.30","234.35","221.00","9.19M","-3.13%"
"31-01-2020","229.80","230.80","235.00","228.40","8.64M","-0.33%"
"30-01-2020","230.55","232.05","232.05","228.05","8.16M","-0.69%"
"29-01-2020","232.15","231.80","238.30","231.45","11.20M","0.89%"
"28-01-2020","230.10","232.80","234.50","229.20","9.44M","-0.28%"
"27-01-2020","230.75","226.00","236.45","226.00","23.36M","0.39%"
"24-01-2020","229.85","227.45","232.10","219.05","34.47M","-0.13%"
"23-01-2020","230.15","226.30","231.65","226.00","8.90M","1.72%"
"22-01-2020","226.25","223.45","228.30","221.85","13.08M","0.56%"
"21-01-2020","225.00","225.70","227.40","220.75","11.56M","-0.95%"
"20-01-2020","227.15","229.85","232.60","224.50","16.10M","-0.81%"
"17-01-2020","229.00","215.00","229.70","214.15","28.05M","3.71%"
"16-01-2020","220.80","218.35","223.40","217.75","17.40M","1.42%"
"15-01-2020","217.70","213.80","218.90","213.20","7.24M","1.16%"
"14-01-2020","215.20","214.15","216.55","212.50","5.80M","0.49%"
"13-01-2020","214.15","210.70","217.20","210.00","12.41M","2.39%"
"10-01-2020","209.15","208.55","211.30","206.30","9.39M","0.05%"
"09-01-2020","209.05","202.75","209.95","202.75","11.17M","3.44%"
"08-01-2020","202.10","200.15","204.45","195.25","17.96M","-1.25%"
"07-01-2020","204.65","202.65","205.80","201.40","9.16M","2.30%"
"06-01-2020","200.05","208.50","208.70","198.30","13.42M","-4.26%"
"03-01-2020","208.95","211.15","213.25","206.15","9.98M","-1.67%"
"02-01-2020","212.50","207.15","214.35","207.15","10.66M","1.80%"
"01-01-2020","208.75","210.00","211.50","207.30","5.42M","-0.31%"
"31-12-2019","209.40","209.35","211.90","208.55","5.22M","-0.24%"
"30-12-2019","209.90","211.50","212.45","209.10","5.61M","-0.24%"
"27-12-2019","210.40","210.75","211.95","207.80","7.24M","0.84%"
"26-12-2019","208.65","209.00","210.95","205.25","9.73M","-0.31%"
"24-12-2019","209.30","214.30","216.80","207.25","13.21M","-2.45%"
"23-12-2019","214.55","217.35","220.60","212.20","25.97M","-1.92%"
"20-12-2019","218.75","210.00","220.60","209.85","25.70M","3.87%"
"19-12-2019","210.60","207.05","211.40","207.00","6.91M","1.08%"
"18-12-2019","208.35","211.50","212.80","205.75","8.76M","-1.63%"
"17-12-2019","211.80","210.15","213.35","210.15","6.12M","0.50%"
"16-12-2019","210.75","212.45","213.75","209.80","5.51M","-1.01%"
"13-12-2019","212.90","211.25","213.60","209.30","8.45M","0.83%"
"12-12-2019","211.15","208.70","213.25","207.25","9.78M","2.03%"
"11-12-2019","206.95","204.50","208.55","203.40","6.18M","1.15%"
"10-12-2019","204.60","207.15","208.55","203.60","8.24M","-1.75%"
"09-12-2019","208.25","205.80","210.50","202.75","9.38M","0.63%"
"06-12-2019","206.95","208.75","210.70","205.50","5.69M","-0.91%"
"05-12-2019","208.85","213.35","214.25","208.00","7.50M","-2.09%"
"04-12-2019","213.30","206.25","213.85","206.00","8.77M","2.18%"
"03-12-2019","208.75","209.00","210.35","204.50","8.54M","-0.45%"
"02-12-2019","209.70","212.75","214.20","206.10","9.69M","-2.49%"
"29-11-2019","215.05","213.25","222.35","212.60","20.92M","0.89%"
"28-11-2019","213.15","212.30","216.05","210.50","9.62M","0.14%"
"27-11-2019","212.85","210.40","215.10","208.45","12.70M","1.04%"
"26-11-2019","210.65","214.85","217.30","207.05","17.76M","-2.25%"
"25-11-2019","215.50","202.00","216.15","202.00","28.02M","6.00%"
"22-11-2019","203.30","204.35","206.50","200.05","8.07M","-1.14%"
"21-11-2019","205.65","205.25","209.30","201.95","10.13M","-0.24%"
"20-11-2019","206.15","200.10","207.90","198.40","9.86M","2.89%"
"19-11-2019","200.35","201.50","203.20","196.55","9.62M","-0.74%"
"18-11-2019","201.85","204.95","206.00","200.75","5.56M","-0.96%"
"15-11-2019","203.80","202.65","205.40","201.25","8.60M","0.49%"
"14-11-2019","202.80","196.00","203.80","194.60","11.50M","2.14%"
"13-11-2019","198.55","208.85","211.10","194.65","24.32M","-6.17%"
"11-11-2019","211.60","206.70","212.90","206.50","8.79M","1.56%"
"08-11-2019","208.35","208.15","212.50","206.65","10.21M","-0.79%"
