Company,Algorithm,Initial Capital,Final Portfolio Value,Total Return %,Annualized Return %,Sharpe Ratio,Maximum Drawdown %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Total Reward
MAXE,Double Q-Learning,100000.0,103465.75285000005,3.465752850000048,2.1862915480515,0.7772132516544914,-1.9243529350621278,252,85,41,67.46031746031747,0.03471393038800649
MAXE,Buy & Hold,100000.0,96325.1548,-3.674845199999996,-2.3446200761641833,0.07375230205660145,-28.227161289444762,1,0,0,0.0,0.03502229151175163
MRTI,Q-Learning,100000.0,115315.30470000005,15.315304700000052,9.467389162663743,0.5503066294723633,-26.464048055567595,120,47,9,83.92857142857143,-0.06709148511129197
MRTI,SARSA,100000.0,121822.9288500001,21.822928850000096,13.349419800929606,0.7959200770649472,-25.993625521732234,127,37,23,61.66666666666667,0.032428376891094936
MRTI,Monte Carlo,100000.0,97337.16015000037,-2.6628398499996258,-1.6986449569724393,-0.14778014512660106,-11.729113679711828,329,85,79,51.829268292682926,-0.03968034168017416
MRTI,Value Iteration,100000.0,109955.77655000002,9.955776550000024,6.209778063267413,0.42741363384322634,-26.259485972683795,40,14,4,77.77777777777779,0.08129779415757292
MRTI,Policy Iteration,100000.0,109955.77655000002,9.955776550000024,6.209778063267413,0.42741363384322634,-26.259485972683795,40,14,4,77.77777777777779,0.08129779415757292
MRTI,Expected SARSA,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
MRTI,Double Q-Learning,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
MRTI,Buy & Hold,100000.0,124115.93360000002,24.11593360000002,14.671815046283786,0.7559051125822563,-26.846155489195883,1,0,0,0.0,0.25146483543161563
NEST,Q-Learning,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
NEST,SARSA,100000.0,100337.70921000007,0.33770921000007365,0.21423993581555223,1.1127704610522002,-0.17993502918654833,242,75,46,61.98347107438017,0.003374379988691302
NEST,Monte Carlo,100000.0,130297.57139999999,30.297571399999985,18.29314483165547,1.0979735626335243,-12.377717350516928,86,0,0,0.0,0.19653163671224716
NEST,Value Iteration,100000.0,120095.79531000002,20.095795310000018,12.326665300555263,1.1959644754744403,-8.172651364462935,144,38,0,100.0,0.19135597565514695
NEST,Policy Iteration,100000.0,120095.79531000002,20.095795310000018,12.326665300555263,1.1959644754744403,-8.172651364462935,144,38,0,100.0,0.19135597565514695
NEST,Expected SARSA,100000.0,125394.57736999997,25.394577369999972,15.447795699325395,1.001135410105024,-12.567658657333983,161,27,12,69.23076923076923,0.17561852183910556
NEST,Double Q-Learning,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
