Company,Iteration,Max_Value_Change,Converged
ASPN,44,1.1959937782184127e-06,False
ASPN,45,1.135031401278911e-06,False
ASPN,46,1.0772916411226456e-06,False
ASPN,47,1.0225870134779108e-06,False
ASPN,48,9.707434174940541e-07,True
AXBK,1,2.386455764639641e-05,False
AXBK,2,1.6695026705531956e-05,False
AXBK,3,1.2431723677383132e-05,False
AXBK,4,9.789308923534462e-06,False
AXBK,5,8.066584583828922e-06,False
AXBK,6,6.88526265575702e-06,False
AXBK,7,6.1126504868916175e-06,False
AXBK,8,5.732040281306521e-06,False
AXBK,9,5.324520142263738e-06,False
AXBK,10,4.924870660563688e-06,False
AXBK,11,4.549472643188395e-06,False
AXBK,12,4.204726188874126e-06,False
AXBK,13,3.891785902591147e-06,False
AXBK,14,3.6092058723104022e-06,False
AXBK,15,3.354395899603582e-06,False
AXBK,16,3.1244027189089536e-06,False
AXBK,17,2.9163103306127533e-06,False
AXBK,18,2.727428118775866e-06,False
AXBK,19,2.5553633094489367e-06,False
AXBK,20,2.398032717331963e-06,False
AXBK,21,2.253644697274536e-06,False
AXBK,22,2.1206683653832072e-06,False
AXBK,23,1.9977992151151507e-06,False
AXBK,24,1.8839257498684417e-06,False
AXBK,25,1.7780992415817042e-06,False
AXBK,26,1.6795073615053023e-06,False
AXBK,27,1.5874517220811784e-06,False
AXBK,28,1.501329030788995e-06,False
AXBK,29,1.4206154215253963e-06,False
AXBK,30,1.3448535009981817e-06,False
AXBK,31,1.273641672562442e-06,False
AXBK,32,1.2066253478396614e-06,False
AXBK,33,1.1434897112086087e-06,False
AXBK,34,1.0839537556387867e-06,False
AXBK,35,1.0277653566062459e-06,False
AXBK,36,9.746971926490798e-07,True
BAJAc1_NS,1,0.00014337142601478909,False
BAJAc1_NS,2,9.45399993776106e-05,False
BAJAc1_NS,3,7.508661188158515e-05,False
BAJAc1_NS,4,6.284614039902279e-05,False
BAJAc1_NS,5,5.388698040890706e-05,False
BAJAc1_NS,6,4.711012849348414e-05,False
BAJAc1_NS,7,4.1826930370077815e-05,False
BAJAc1_NS,8,3.758182944092964e-05,False
BAJAc1_NS,9,3.4077250102022946e-05,False
BAJAc1_NS,10,3.1117455883396944e-05,False
BAJAc1_NS,11,2.8571497223608446e-05,False
BAJAc1_NS,12,2.6349580117116292e-05,False
BAJAc1_NS,13,2.4388268131132177e-05,False
BAJAc1_NS,14,2.264128549296781e-05,False
BAJAc1_NS,15,2.1073795284790855e-05,False
BAJAc1_NS,16,1.9658808633513103e-05,False
BAJAc1_NS,17,1.837489529239538e-05,False
BAJAc1_NS,18,1.7204690924262187e-05,False
BAJAc1_NS,19,1.6133896387322214e-05,False
BAJAc1_NS,20,1.5150585436118436e-05,False
BAJAc1_NS,21,1.424470987053839e-05,False
